Unique_Op_ID,Index,Bid_Status,Last_Update,Update_Comment,Bid_Type,Client,Project,Region,Country,Water_Depth_Min,Water_Depth_Max,Survey_Type,Date_Received,Date_Submitted,Node_Type,Crew Node
202503_RFI_OCCI_HOR_USA_ROV,,No Sale,20-Aug-2025,Quiet,RFI,Occidental,Horn Mountain,GOM,USA,,,ROV,24-Mar-2025,,ZXPLR,
202504_RFP_CONO_ELD_NOR_ROV,,Submitted-Complete,3-Jun-2025,Tender submitted,RFP,ConocoPhillips,Eldfisk/Ekofisk,North Sea,Norway,60,80,ROV,7-Apr-2025,30-May-2025,MASS,6000
202504_MC_TGS_MAL_NOR_NOAR,,Submitted-Complete,22-Oct-2025,MC has what they need,MC,TGS,Maloy Slope,North Sea,Norway,,,NOAR,28-Apr-2025,,,
202505_RFP_BP_CLA_UK_ROV-NOAR,,Award,22-Oct-2025,"Clair awared to TGS, Schie postponed to 2027",RFP,BP,Clair/Schiehallion,North Sea,UK,130,500,ROV-NOAR,13-May-2025,23-Jun-2025,Z700,8000
202505_RFI_CHEV_LEV_ISR_ROV,,No Sale,30-Jul-2025,Almost 100% not happening,RFI,Chevron,Leviathan,Middle East,Israel,,,ROV,16-May-2025,29-May-2025,MASS,
202505_RFP_CHEV_ST _USA_ROV,,Award,27-Aug-2025,"Potential award, pending transfer fee agreement",RFP,Chevron,St Malo,GOM,USA,2000,2300,ROV,23-May-2025,3-Jul-2025,ZXPLR,2000
202505_RFP_CHEV_CAP_WOR_TS-NOAR-ROV,,Award,22-Oct-2025,Award to TGS,RFP,Chevron,Capacity Agreement,Worldwide,Worldwide,,,TS-NOAR-ROV,30-May-2025,,,
202506_RFI_WOOD_NW _SEN_ROV,,No Sale,25-Jun-2025,Quiet,RFI,Woodside,NW Africa,WAF,Senegal,600,1800,ROV,24-Jun-2025,30-Jun-2025,"ZXPLR, MASS",3000
202506_BQ_TRID_ELO_EQU_NOAR,,No Sale,20-Aug-2025,Quiet,BQ,Trident Energy,Elon 4D,WAF,Equitorial Guinea,,,NOAR,30-Jun-2025,3-Jul-2025,Z700,7500
190001_RFP_EGAS_MED_EGY_,,No Sale,24-Jul-2025,Submitted,RFP,EGAS,Mediterranean,Middle East,Egypt,,,,,,,
190001_RFP_PRIO_FRA_BRA_ROV,,Lost,22-Oct-2025,Rumored lost to PXGEO,RFP,Prio,Frade,SAM,Brazil,,,ROV,,19-Aug-2025,ZXPLR,
190001_RFP_OCEA_HIG_AUS_NE-UHR,,Submitted-Complete,15-Sep-2025,,RFP,Ocean Winds,High Sea Wind Project,APAC,Australia,,,NE-UHR,,,,
190001_BQ_MURP_VIE_VIE_,,No Sale,22-Oct-2025,Will be RFP'd in November 2025,BQ,Murphy,Vietnam,APAC,Vietnam,,,,,,,
202507_RFP_PETR_ALB_BRA_ROV,,Lost,15-Sep-2025,Lost to SAE (L1) - TGS L2,RFP,Petrobras,Albacora Marlim Voador,SAM,Brazil,80,1400,ROV,24-Jul-2025,12-Sep-2025,ZXPLR,4000
202507_BQ_QATA_PRO_QAT_NOAR,,Submitted-Complete,15-Sep-2025,Sent non-binding numbers,BQ,Qatar Energy,Project Quest,Middle East,Qatar,0,60,NOAR,31-Jul-2025,,Z700,16000
202509_BQ_PETR_PEL_BRA_ROV,,In Progress,15-Sep-2025,Streamer market survey with OBN component,BQ,Petronas,Pelotas,SAM,Brazil,,,ROV,15-Sep-2025,,,
202509_RFP_AKER_IVA_NOR_NOAR,,Submitted-Complete,23-Sep-2025,"Submitted, pending response from client",RFP,AkerBP,"Ivar Aasen, Solveig",North Sea,Norway,,,NOAR,18-Sep-2025,20-Oct-2025,Z700,10100
202510_RFP_EQUI_GUL_NOR_NOAR,,In Progress,22-Oct-2025,RFP process in the works,RFP,Equinor,"Gullfaks, Martin Linge, Njord",North Sea,Norway,,,NOAR,15-Oct-2025,,Z700,3500-8200
